,Huber-Huber-RobustPALMRT-pval,OLS-L2-PALMRT-pval,F-test-pval
223,0.104,0.852,0.9249929579720537
224,0.395,0.5895,0.5819920153817937
225,0.0495,0.237,0.24475220312204857
226,0.3625,0.3525,0.33743292126820956
227,0.579,0.406,0.39427663991689366
228,0.115,0.14,0.09747904794059106
229,0.624,0.7785,0.7668057233145489
230,0.399,0.6995,0.6783364393037361
231,0.036,0.103,0.07855500921152003
232,0.004,0.021,0.016079051619760757
233,0.5555,0.479,0.44858824415438714
234,0.013,0.015,0.010225107782658012
235,0.33,0.5955,0.554023441768901
236,0.018,0.023,0.015385379989141773
237,0.5335,0.7415,0.736422532682234
238,0.3445,0.473,0.44027375176788597
239,0.124,0.5245,0.5046083075424812
240,0.109,0.138,0.1215646270413957
241,0.138,0.3485,0.34077219097312605
242,0.7345,0.8575,0.9558470794181871
243,0.048,0.177,0.15417689622331093
244,0.019,0.029,0.01868674115306018
245,0.3595,0.185,0.170443781043834
246,0.192,0.6725,0.6728174855397926
247,0.008,0.118,0.10094741433885243
248,0.319,0.201,0.1736845085694938
249,0.105,0.132,0.11280842052980622
250,0.003,0.093,0.07088638478945657
251,0.137,0.045,0.03169175944641809
252,0.4095,0.8805,0.9892350240226717
253,0.087,0.154,0.12547820126904474
254,0.009,0.043,0.027714760290698543
255,0.1645,0.118,0.0982022898930124
256,0.204,0.3,0.28927449782539516
257,0.339,0.4785,0.4546661000987543
258,0.016,0.809,0.8285997252015985
259,0.413,0.2485,0.23108062079508132
260,0.09,0.173,0.14679824891567272
261,0.014,0.002,0.001566107586870007
262,0.402,0.2765,0.2466053259098479
263,0.195,0.6645,0.6664149132911613
264,0.568,0.5945,0.5675512301767802
265,0.032,0.084,0.06753319261972994
266,0.002,0.006,0.005366136215785669
267,0.052,0.3395,0.2978899143761961
268,0.3625,0.44,0.4036759550329978
269,0.2975,0.879,0.9196078439432454
270,0.7545,0.807,0.7991447629481476
271,0.013,0.104,0.08607430599950587
272,0.051,0.4185,0.39488520845424124
273,0.695,0.672,0.6762235437774466
274,0.2795,0.177,0.180348602969975
275,0.019,0.76,0.7956825830264562
